Title,ID,IMDB Results,THDB Results,Cinestaan Results,Box Office India Results
The Great Gambler,tt0079236,,Budget: 0 Revenue: 0,Revenue: INR 2.25 Crore,
Shaan,tt0081491,,Budget: 0 Revenue: 0,Revenue: INR 4.25 Crore,"First Week:  97,00,000 Budget: 3,25,00,000 India Gross: 2,35,00,000 Overseas Gross: $--- Worldwide Gross: 2,35,00,000"
Naseeb,tt0082797,,Budget: 0 Revenue: 0,,"First Week:  92,75,000 Budget: 2,75,00,000 India Gross: 2,54,00,000 Overseas Gross: $23,000 Worldwide Gross: 2,63,77,500"
Silsila,tt0083081,,Budget: 0 Revenue: 0,,"First Week:  1,61,00,000 Budget: 5,75,00,000 India Gross: 5,82,00,000 Overseas Gross: $320,000 Worldwide Gross: 7,18,80,000"
...Aur Pyaar Ho Gaya,tt0118525,,Budget: 0 Revenue: 0,,"First Week:  3,26,00,000 Budget: 6,25,00,000 India Gross: 12,48,00,000 Overseas Gross: $380,000 Worldwide Gross: 13,85,75,000"
Dil To Pagal Hai,tt0118983,,Budget: 1300000 Revenue: 11000000,Budget: INR 9 Crore (est.) Revenue: INR 72.74 Crore,"First Week:  5,24,00,000 Budget: 9,00,00,000 India Gross: 59,82,00,000 Overseas Gross: $3,300,000 Worldwide Gross: 71,86,50,000"
Hero No. 1,tt0119285,,Budget: 0 Revenue: 0,,"First Week:  -- Budget: 25,00,000 India Gross: 21,00,000 Overseas Gross: $--- Worldwide Gross: 21,00,000"
Mrityudaata,tt0119721,,Budget: 0 Revenue: 0,Budget: INR 13 Crore (est.) Revenue: INR 17.51 Crore,"First Week:  4,47,00,000 Budget: 13,00,00,000 India Gross: 15,94,00,000 Overseas Gross: $400,000 Worldwide Gross: 17,37,00,000"
Stiff Upper Lips,tt0120210,"Gross USA: $72,482 Cumulative Worldwide Gross: $72,482",Budget: 0 Revenue: 0,,
Yes Boss,tt0120540,,Budget: 2700000 Revenue: 12000000,Budget: INR 5 Crore (est.) Revenue: INR 23.3 Crore,"First Week:  3,29,00,000 Budget: 5,00,00,000 India Gross: 19,48,00,000 Overseas Gross: $975,000 Worldwide Gross: 22,96,56,250"
Ziddi,tt0120551,,Budget: 0 Revenue: 0,Budget: INR 7.5 Crore (est.) Revenue: INR 32.49 Crore,"First Week:  4,44,50,000 Budget: 7,50,00,000 India Gross: 31,90,00,000 Overseas Gross: $150,000 Worldwide Gross: 32,43,62,500"
Aapko Pehle Bhi Kahin Dekha Hai,tt0348521,,Budget: 0 Revenue: 0,,"First Week:  1,19,00,000 Budget: 4,25,00,000 India Gross: 2,52,00,000 Overseas Gross: $30,000 Worldwide Gross: 2,66,40,000"
Jaane Jigar,tt0349635,,Budget: 0 Revenue: 0,,"First Week:  42,25,000 Budget: 1,25,00,000 India Gross: 1,22,00,000 Overseas Gross: $2,500 Worldwide Gross: 1,23,06,875"
Kyun! Ho Gaya Na...,tt0349703,"Opening Weekend USA: $171,966,15 August 2004 Gross USA: $336,909 Cumulative Worldwide Gross: $696,718",Budget: 0 Revenue: 0,,"First Week:  5,80,00,000 Budget: 10,00,00,000 India Gross: 11,50,00,000 Overseas Gross: $1,050,000 Worldwide Gross: 16,35,62,500"
Netaji Subhas Chandra Bose: The Forgotten Hero,tt0349878,"Budget:INR210,000,000            (estimated)",Budget: 0 Revenue: 0,,
Bride & Prejudice,tt0361411,"Budget:$7,000,000            (estimated) Opening Weekend USA: $385,848,13 February 2005 Gross USA: $6,605,592 Cumulative Worldwide Gross: $24,716,440",Budget: 40000000 Revenue: 117195061,,"First Week:  50,000 Budget: 6,75,00,000 India Gross: 72,500 Overseas Gross: $--- Worldwide Gross: 72,500"
Meenaxi: Tale of 3 Cities,tt0366761,,Budget: 0 Revenue: 0,,
Asambhav,tt0368580,"Opening Weekend USA: $19,504,25 July 2004 Gross USA: $19,504 Cumulative Worldwide Gross: $50,611",Budget: 0 Revenue: 0,Budget: INR 13 Crore (est.) Revenue: INR 5.13 Crore,"First Week:  2,46,50,000 Budget: 13,00,00,000 India Gross: 4,56,00,000 Overseas Gross: $130,000 Worldwide Gross: 5,16,12,500"
Anniyan,tt0376127,"Budget:INR280,000,000            (estimated)",Budget: 0 Revenue: 8500000,,
Yamaleela 2,tt3895804,"Budget:INR300,000,000            (estimated)",Budget: 0 Revenue: 0,,
Borbaad,tt3958596,"Budget:INR20,000,000            (estimated)",Budget: 0 Revenue: 0,,
Dunno Y 2... Life Is a Moment,tt3959526,,Budget: 0 Revenue: 0,,"First Week:  -- Budget: -- India Gross: 14,25,000 Overseas Gross: $--- Worldwide Gross: 14,25,000"
Poiyattam,tt3962184,"Budget:INR300,000,000            (estimated) Cumulative Worldwide Gross: $38,052",Budget: 0 Revenue: 0,,
The Black Prince,tt3962984,"Cumulative Worldwide Gross: $632,823",Budget: 0 Revenue: 0,,
Più libero di prima,tt3985560,,Budget: 0 Revenue: 0,,
Shaandaar,tt4007558,"Opening Weekend USA: $384,685,25 October 2015 Gross USA: $521,794 Cumulative Worldwide Gross: $14,120,808",Budget: 0 Revenue: 0,Budget: INR 69 Crore (est.) Revenue: INR 76.09 Crore,"First Week:  35,95,00,000 Budget: 69,00,00,000 India Gross: 54,38,00,000 Overseas Gross: $3,280,000 Worldwide Gross: 75,70,00,000"
Fever,tt4022278,"Budget:INR70,000,000            (estimated)",Budget: 0 Revenue: 0,,"First Week:  1,08,00,000 Budget: -- India Gross: 1,53,00,000 Overseas Gross: $--- Worldwide Gross: 1,53,00,000"
Welcome to Karachi,tt4023852,,Budget: 0 Revenue: 0,Budget: INR 29 Crore (est.) Revenue: INR 13.59 Crore,
Eggolution,tt7189614,,,,
Welcome to New York,tt7275232,"Cumulative Worldwide Gross: $214,939",Budget: 0 Revenue: 0,Budget: INR 26 Crore (est.) Revenue: INR 3.83 Crore,"First Week:  2,97,00,000 Budget: 36,00,00,000 India Gross: 3,86,00,000 Overseas Gross: $310,000 Worldwide Gross: 5,84,40,000"
Moving Stories,tt7379594,,Budget: 0 Revenue: 0,Budget: INR 10 Crore (est.) Revenue: INR 3.97 Crore,
Tender Years,tt7389914,,Budget: 0 Revenue: 0,,
Asylum Park,tt7464308,,,Budget: INR 6 Crore (est.) Revenue: INR 8 Lakh,
Sensibly Won,tt7475198,,,,
Naughty Amelia Jane,tt7494252,"Budget:$7,000            (estimated)",Budget: 0 Revenue: 0,,
Victor's History,tt7537434,,Budget: 0 Revenue: 0,,
Keepers of the Flame,tt9698958,,Budget: 0 Revenue: 0,,
Crucible of Fire,tt9703382,,,,
NRI Businessman cycles 1450 KM from Delhi to Mumbai,tt9774768,"Budget:INR500,000            (estimated)",,,
